yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
196801,92.24 ,2.93000 ,5.36670 ,0.55630 ,0.05000 ,0.06170 ,0.06840 ,0.05360 ,0.01285 ,0.00400 ,0.00590 ,0.03280 ,0.03610 ,0.00048 ,0.00250 ,-0.04188 ,-0.04352 ,0,0,1,1,1,1,0,0,0,0,0,1
196802,89.36 ,2.94000 ,5.40330 ,0.56621 ,0.04980 ,0.06100 ,0.06800 ,0.05420 ,0.01045 ,0.00390 ,0.00293 ,-0.00330 ,0.00370 ,0.00082 ,0.00256 ,-0.02690 ,-0.03197 ,0,0,0,0,0,0,0,0,0,0,1,1
196803,90.20 ,2.95000 ,5.44000 ,0.56681 ,0.05170 ,0.06110 ,0.06850 ,0.05600 ,0.01268 ,0.00380 ,0.00292 ,-0.02120 ,-0.01970 ,0.00140 ,0.00340 ,0.00970 ,0.00859 ,0,0,0,0,0,0,1,0,0,0,0,1
196804,97.59 ,2.96330 ,5.48330 ,0.52235 ,0.05380 ,0.06210 ,0.06970 ,0.05470 ,0.00814 ,0.00430 ,0.00292 ,0.02270 ,0.00480 ,0.00161 ,0.00370 ,0.08409 ,0.08264 ,1,1,1,1,0,0,1,1,1,1,1,1
196805,98.68 ,2.97670 ,5.52670 ,0.53003 ,0.05660 ,0.06270 ,0.07030 ,0.05470 ,0.01065 ,0.00450 ,0.00291 ,0.00430 ,0.00320 ,0.00039 ,0.00296 ,0.01637 ,0.01110 ,1,1,1,1,1,1,1,1,1,1,1,1
196806,99.58 ,2.99000 ,5.57000 ,0.53074 ,0.05520 ,0.06280 ,0.07070 ,0.05340 ,0.01209 ,0.00430 ,0.00580 ,0.02300 ,0.01220 ,0.00050 ,0.00263 ,0.00992 ,0.00870 ,1,1,1,1,1,1,1,1,1,1,1,1
196807,97.74 ,3.00330 ,5.60000 ,0.53964 ,0.05310 ,0.06240 ,0.06980 ,0.05170 ,0.01389 ,0.00480 ,0.00576 ,0.02890 ,0.03410 ,0.00076 ,0.00262 ,-0.01744 ,-0.01866 ,1,1,1,1,1,1,0,0,1,1,1,1
196808,98.86 ,3.01670 ,5.63000 ,0.53180 ,0.05090 ,0.06020 ,0.06820 ,0.05200 ,0.01804 ,0.00420 ,0.00287 ,-0.00030 ,0.02060 ,0.00032 ,0.00288 ,0.01642 ,0.01126 ,1,1,1,1,1,1,1,0,1,1,1,1
196809,102.67 ,3.03000 ,5.66000 ,0.50920 ,0.05190 ,0.05970 ,0.06790 ,0.05310 ,0.01829 ,0.00430 ,0.00286 ,-0.01020 ,-0.00530 ,0.00027 ,0.00241 ,0.03935 ,0.03821 ,1,1,1,1,1,1,1,1,1,1,1,1
196810,103.41 ,3.04330 ,5.69330 ,0.50032 ,0.05350 ,0.06090 ,0.06840 ,0.05430 ,0.01941 ,0.00440 ,0.00570 ,-0.01320 ,-0.01600 ,0.00027 ,0.00255 ,0.00859 ,0.00675 ,1,1,1,1,1,1,1,1,1,1,1,1
