Month,vrp,ogap,WTI,rdsp,sii
201812,-4.0034,103.869,-0.130617978,3.097358194,-1.0889
20191,-3.3645,103.2684,0.037560582,2.969074708,-1.3678
20192,10.5938,102.8157,0.069482289,2.823032903,-1.1662
20193,4.8783,102.9,0.058234759,2.826990935,-1.1667
20194,9.9063,102.3826,0.098194325,2.648611913,-1.0607
20195,6.7321,102.5756,-0.047447541,2.620533244,-1.1688
20196,9.1481,102.5928,-0.101430215,2.527578949,-1.2415
20197,14.8658,102.2012,0.049213319,2.635413284,-1.0863
20198,-2.3684,102.9086,-0.044289451,2.905801376,-0.9891
20199,13.0961,102.579,0.03904397,3.320593183,-1.0141
201910,2.4415,101.7775,-0.052502195,3.346579315,-0.8557
201911,9.7633,102.0979,0.056893996,3.180919978,-0.8421
201912,9.6763,101.7632,0.049973698,3.339244698,-0.9013
20201,19.774,101.303,-0.039412158,3.744473947,-0.8828
20202,81.5613,101.7038,-0.121349096,4.035169296,-0.9677
20203,-403.4021,97.8746,-0.422041947,5.30570618,-1.2005
20204,-18.995,84.959,-0.433413215,6.417732315,-1.265
20205,17.2148,86.3345,0.725679758,6.531894548,-1.4758
20206,13.9342,91.7523,0.341386555,5.1873481,-1.2956
20207,25.2,95.2439,0.062646829,4.159869103,-1.3267
20208,49.0974,96.1173,0.040039302,4.104969358,-1.2263
20209,10.045,96.0711,-0.064005668,4.001576153,-1.4899
202010,88.3604,96.825,-0.005803684,3.884226699,-1.4068
202011,-1.8777,97.1183,0.039086294,4.389675523,-1.4453
202012,31.6237,98.138,0.148510015,4.534046578,-1.4053
